Set,Profile,expressivity,class_count,indiv_count,obj_property_count,dataproperty_count,datatypes_count,Cyclic Cls,HC_Cohesion,HC_MAX_DEPTH,HC_Max_Sibling,HC_Avg_Sibling,C_Tangledness,C_MaxTangledness,HP_Cohesion,P_Tangledness,P_MaxTangledness,HP_MAX_DEPTH,HP_Max_Sibling,HP_Avg_Sibling,OP_Cohesion,Onto_Cohesion,RRichness,AttRichness,UI,EUR,Axioms_count,AxiomsLogical_count,Tbox_size,Abox_size,Rbox_size,Tbox_ratio,Abox_ratio,Rbox_ratio,GCI,PCD,NPCD,GCI_Ratio,PCD_Ratio,NPCD_Ratio,MaxNesting,AvgNesting,ClsDisjoinedRatio,ClsWithNominalsRatio,IndivSameRatio,IndivDiffRatio,NominalsTBoxRatio,MaxACC,OntoCCDensity,Intersection,Union,Existentiel,Universal,LeastCardinality,MostCardinality,ExactCardinality,avgValuesCard,LogestMCard,LogestLCard,LogestECard,Complement,OneOf,HasValue,HasSelf,InversePropRatio,TransitivePropRatio,ReflexivePropRatio,IrreflexivePropRatio,SymmetricPropRatio,AsymmetricPropRatio,FunctionalPropRatio,InverseFuncPropRatio,HierarchyPropRatio,SubClassOf,InverseObjectProperties,SubObjectPropertyOf,FunctionalObjectProperty,TransitiveObjectProperty,EquivalentClasses,DisjointClasses,SubPropertyChainOf,ObjectPropertyRange,ObjectPropertyDomain,DisjointUnion,ClassAssertion,DataPropertyRange,DataPropertyDomain,ObjectPropertyAssertion,DataPropertyAssertion,DifferentIndividuals,SymmetricObjectProperty,ReflexiveObjectProperty,InverseFunctionalObjectProperty,EquivalentDataProperties,SameIndividual,EquivalentObjectProperties,SubDataPropertyOf,FunctionalDataProperty,IrrefexiveObjectProperty,AsymmetricObjectProperty,DisjointObjectProperties
Train,DL,SR,23851,11,7,0,0,0,0.006,15,632,3.685,0.025,8,0.19,0,1,2,2,2,0,0.098,0,0,0,0,219662,195804,50898,144897,9,25.994,74.001,0.005,0,50895,0,0,99.994,0,3,2.216,0.013,0,0,0,0,1,0.215686275,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,45.072,0,0,0,0,0,0,54.928,25.993,0,0.001,0,0.001,0,0.002,0.003,0,0,0,74.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SHIF,17295,7,96,0,0,0.001,0.005,14,499,3.521,0.023,6,0.021,2.083,2,4,8,3,0,0.013,0,0,0,0,135316,117925,34280,83567,78,29.069,70.865,0.066,544,32846,0,1.587,95.817,0,7,2.25,0.017,0,0,0,0,3,0.077878257,6.805,0,93.195,0,0,0,0,0,0,0,0,0,0,0,0,0,46.369,0,0,0,0,0,0,46.959,28.605,0.009,0.036,0.001,0.019,0.462,0.003,0,0,0,0,70.865,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
Train,DL,SRIF,26970,11,101,0,0,0.001,0.005,15,757,3.87,0.022,8,0.018,1.98,2,3,8,2.562,0,0.011,0,0,0,0,242288,215217,57130,157995,92,26.545,73.412,0.043,523,55624,0,0.915,97.364,0,9,2.24,0.019,0,0,0,0,4,0.057570453,3.975,0,96.025,0,0,0,0,0,0,0,0,0,0,0,0,0,47.764,0,0,0,0,0,0,47.732,26.3,0.005,0.019,0,0.01,0.243,0.002,0.007,0,0,0,73.412,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Train,DL,SR,36124,12,21,0,0,0,0.004,15,1548,4.304,0.011,8,0.052,0,1,3,2,1.667,0,0.028,0,0,0,0,436130,399985,74679,325293,13,18.67,81.326,0.003,4429,56021,0,5.931,75.016,0,13,2.364,0.008,0,0,0,0,6,0.049795346,19.859,0,80.141,0,0,0,0,0,0,0,0,0,0,0,0,0,37.308,0,0,0,0,0,0,60.511,17.562,0,0.001,0,0.001,1.108,0.001,0.001,0,0,0,81.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SHIF,19145,20,87,0,0,0.001,0.004,14,1414,3.607,0.021,6,0.027,2.299,2,4,8,2.933,0,0.011,0,0,0,0,141294,122062,35876,86099,87,29.392,70.537,0.071,106,35574,0,0.295,99.158,0,5,2.217,0.016,0,0,0,0,2,0.106826291,1.383,0,98.617,0,0,0,0,0,0,0,0,0,0,0,0,0,49.888,0,0,0,0,0,0,46.117,29.302,0.009,0.036,0.001,0.017,0.087,0.002,0,0.002,0.004,0,70.537,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
Train,DL,SHIF,16310,7,78,0,0,0.001,0.006,14,480,3.518,0.025,6,0.033,2.564,2,4,8,3,0,0.019,0,0,0,0,130606,114218,32893,81248,77,28.798,71.134,0.067,607,31012,0,1.845,94.281,0,7,2.258,0.018,0,0,0,0,3,0.079773812,7.711,0,92.289,0,0,0,0,0,0,0,0,0,0,0,0,0.055,52.058,0,0,0,0,0,0,47.543,28.264,0.01,0.037,0.001,0.018,0.531,0.003,0,0,0,0,71.134,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
Train,DL,SHIF,20485,13,112,0,0,0.001,0.004,14,1363,3.731,0.02,6,0.017,1.786,2,4,8,2.812,0,0.007,0,0,0,0,158302,137705,39079,98536,90,28.379,71.556,0.065,743,36948,3,1.901,94.547,0.008,9,2.273,0.015,0,0,0,0,4,0.063390824,7.529,0,92.471,0,0,0,0,0,0,0,0,0,0,0,0,0,53.498,0,0,0,0,0,0,39.943,27.835,0.008,0.033,0.001,0.017,0.542,0.002,0,0.002,0.004,0,71.556,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Train,DL,SHIF,17295,7,93,0,0,0.001,0.005,14,499,3.521,0.023,6,0.023,2.151,2,4,8,3,0,0.014,0,0,0,0,135269,117881,34236,83567,78,29.043,70.891,0.066,501,32916,0,1.463,96.144,0,7,2.246,0.017,0,0,0,0,3,0.077111812,6.326,0,93.674,0,0,0,0,0,0,0,0,0,0,0,0,0,46.65,0,0,0,0,0,0,47.19,28.615,0.009,0.036,0.001,0.019,0.425,0.003,0,0,0,0,70.891,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
Train,DL,SR,3125,11,7,0,0,0,0.008,10,695,6.829,0.128,5,0.19,0,1,2,2,2,0,0.099,0,0,0,0,21761,18629,5709,12911,9,30.646,69.306,0.048,0,5708,0,0,99.982,0,3,2.19,0.064,0,0,0,0,1,0.190050797,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,30.64,0,0.011,0,0.011,0,0.005,0.027,0,0,0,69.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SR,37253,11,8,0,0,0,0.003,16,1644,4.22,0.016,8,0.143,0,1,2,2,2,0,0.073,0,0,0,0,372023,334762,68652,266101,9,20.508,79.49,0.003,199,68034,0,0.29,99.1,0,7,2.185,0.016,0,0,0,0,3,0.060551768,1.596,0,98.404,0,0,0,0,0,0,0,0,0,0,0,0,0,49.242,0,0,0,0,0,0,49.136,20.446,0,0.001,0,0.001,0.059,0.002,0.001,0,0,0,79.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALE+,20977,0,9,0,0,0,0.007,19,235,4.461,0.038,9,0,0,0,0,0,0,0,0.007,0,0,0,0,303335,282349,38375,243972,2,13.591,86.408,0.001,0,38375,0,0,100,0,3,2.303,0,0,0,0,0,1,0.302931596,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,8.422,0,0,0,0,0,0,0,13.591,0,0,0,0.001,0,0,0,0,0,0,86.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALEH+,3832,0,4,0,0,0,0.005,15,241,4.303,0.104,6,0.667,0,1,2,2,2,0,0.336,0,0,0,0,23394,19558,7277,12278,3,37.207,62.777,0.015,0,7277,0,0,100,0,3,2.435,0,0,0,0,0,1,0.434657139,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,90.515,0,0,0,0,0,0,9.485,37.207,0,0.01,0,0.005,0,0,0,0,0,0,62.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SRI,7802,22,21,0,0,0,0.007,15,240,5.927,0.026,4,0.11,0,1,3,6,2.5,0,0.039,0.003,0,0,0,50419,42596,19438,23122,36,45.633,54.282,0.085,0,19377,0,0,99.686,0,3,2.464,0.487,0,0,0,0,1,0.464193847,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,65.411,69.157,0,0,0,0,0,0,93.683,45.49,0.007,0.023,0,0.007,0,0.143,0.019,0.007,0.021,0,54.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALEI+,75141,0,2,0,0,0,0,20,247,3.024,0.003,2,0,0,0,0,0,0,0,0,0,0,0,0,240929,165786,119558,46225,3,72.116,27.882,0.002,0,119558,0,0,100,0,3,2.371,0,0,0,0,0,1,0.37148497,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,72.116,0.001,0,0,0.001,0,0,0,0,0,0,27.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SH,27890,7,4,0,0,0,0.002,15,1363,4.193,0.014,6,0.667,0,1,2,2,2,0,0.335,0,0,0,0,323032,295138,50954,244181,3,17.264,82.735,0.001,3608,36654,0,7.081,71.935,0,5,2.361,0.011,0,0,0,0,2,0.145179966,24.387,0,75.613,0,0,0,0,0,0,0,0,0,0,0,0,0,36.909,0,0,0,0,0,0,63.091,16.041,0,0.001,0,0,1.222,0.001,0,0,0,0,82.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALE,8342,0,1,0,0,0,0,2,23,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33367,25024,8339,16685,0,33.324,66.676,0,0,8339,0,0,100,0,3,2.997,0,0,0,0,0,1,0.997241876,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.324,0,0,0,0,0,0,0,0,0,0,66.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,AL+,6801,0,1,0,0,0,0.004,14,281,3.286,0.044,4,0,0,0,0,0,0,0,0.004,0,0,0,0,46081,39279,7989,31289,1,20.339,79.658,0.003,0,7989,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.339,0,0,0,0.003,0,0,0,0,0,0,79.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SRIF,42169,11,90,0,0,0,0.004,19,920,5.887,0.014,9,0.022,2.222,2,3,8,2.562,0,0.013,0,0,0,0,710072,667813,84290,583429,94,12.622,87.364,0.014,3115,77528,17,3.696,91.978,0.02,19,2.528,0.007,0,0,0,0,9,0.047506624,8.691,0,91.309,0,0,0,0,0,0,0,0,0,0,0,0,0,7.886,0,0,0,0,0,0,0,12.152,0.002,0.006,0,0.004,0.469,0,0.002,0,0,0,87.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SRIQ,17680,11,161,0,0,0.001,0.002,16,887,6.269,0.04,8,0.013,1.863,3,3,8,1.833,0,0.008,0.007,0,0,0,161920,144079,35395,108512,172,24.566,75.314,0.119,2764,24313,0,7.809,68.69,0,9,2.503,1.301,0,0,0,0,4,0.104859443,18.524,0.094,81.2,0,0,0,0,0,0,0,2,0,0,0,0,81.675,78.72,0,0,0,0,0.074,0,87.486,22.531,0.015,0.053,0.001,0.026,1.852,0.183,0.023,0,0,0,75.314,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Train,DL,ALE+,9220,0,2,0,0,0,0,13,468,5.53,0.033,4,0,0,0,0,0,0,0,0,0,0,0,0,162239,153017,9627,143388,2,6.291,93.707,0.001,0,9627,0,0,100,0,3,2.652,0,0,0,0,0,1,0.651916485,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,6.291,0,0,0,0.001,0,0,0,0,0,0,93.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SHOIN(D),1162,17,57,1,3,0.047,0.016,12,178,5.276,0.345,4,0.047,3.509,2,3,8,4.111,0,0.021,0.754,0.001,0.095,0,8934,7715,7471,98,146,96.837,1.27,1.892,57,1699,1,0.763,22.741,0.013,13,2.139,50.775,0.086,0,35.294,41.176,8,0.013803373,15.273,5.697,74.909,3.636,0.364,0,0,16.5,0,2,0,0,0.121,0,0,80.338,11.06,0,0,0,0,0,0,80.645,23.15,0.259,0.48,0.013,0.194,0.752,72.936,0,0.454,0.48,0,1.257,0,0.013,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0
Train,DL,AL,504,0,0,0,0,0,0.023,9,72,4.095,0.397,2,0,0,0,0,0,0,0,0.023,0,0,0,0,2448,1944,516,1428,0,26.543,73.457,0,0,516,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.543,0,0,0,0,0,0,0,0,0,0,73.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALE+,1913,3,4,0,0,0,0.008,10,165,5.225,0.105,6,0,0,0,0,0,0,0,0.008,0,0,0,0,19299,17382,2598,14780,4,14.946,85.03,0.023,0,2598,0,0,100,0,3,2.027,0,0,0,0,0,1,0.026558891,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,14.946,0,0,0,0.023,0,0,0,0,0,0,85.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALEI+,3044,0,5,0,0,0,0.004,13,79,5.374,0.099,3,0,0,0,0,0,0,0,0.004,0,0,0,0,13480,10431,4832,5596,3,46.323,53.648,0.029,0,4832,0,0,100,0,3,2.524,0,0,0,0,0,1,0.524006623,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,94.708,0,0,0,0,0,0,0,46.323,0,0,0,0.019,0,0,0,0,0,0,53.648,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
Train,DL,AL,36504,0,0,0,0,0,0.001,19,343,6.571,0.005,2,0,0,0,0,0,0,0,0.001,0,0,0,0,159150,122646,36500,86146,0,29.76,70.24,0,0,36500,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.76,0,0,0,0,0,0,0,0,0,0,70.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALEH+,2208,0,14,0,0,0,0.006,13,466,5.514,0.091,3,0.022,0,1,2,1,1,0,0.014,0,0,0,0,20920,18698,4059,14635,4,21.708,78.27,0.021,160,3611,3,3.942,88.963,0.074,5,2.507,0,0,0,0,0,2,0.23343188,8.602,0,91.398,0,0,0,0,0,0,0,0,0,0,0,0,0,97.344,0,0,0,0,0,0,0.346,20.836,0,0.005,0,0.016,0.872,0,0,0,0,0,78.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SRIQ,5413,149,137,0,0,0.019,0.003,20,181,4.504,0.055,3,0.025,2.19,3,4,11,1.978,0,0.009,0.006,0,2.834,2.148,18207,12659,12200,176,283,96.374,1.39,2.236,505,10962,44,4.139,89.852,0.361,16,3.375,0.536,0,0,0,0,9,0.109790528,30.178,6.477,62.456,0.465,0.017,0,0,240.84,0,2,0,0.357,0,0.05,0,1.385,0.594,0,0,0,0,0.224,0.013,38.791,91.95,0.269,0.703,0.024,0.245,4.337,0.087,0.016,0.498,0.466,0,1.39,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0
Train,DL,ALE+,1046,4,5,0,0,0,0.008,10,113,6.915,0.191,2,0,0,0,0,0,0,0,0.008,0,0,0,0,6053,5002,2266,2733,3,45.302,54.638,0.06,0,2266,0,0,100,0,3,2.57,0,0,0,0,0,1,0.56972639,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,73.586,0,0,0,0,0,0,0,45.302,0,0,0,0.06,0,0,0,0,0,0,54.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALEHIF+(D),220,1920,22,1,1,9.031,0.013,11,35,3.933,0.913,2,0.009,0,1,2,1,1,0,0.007,0.011,0.005,0,0,10465,10223,355,9853,15,3.473,96.381,0.147,125,96,0,35.211,27.042,0,12,3.203,0,0,0,0,0,7,0.131187123,30.675,0,69.325,0,0,0,0,0,0,0,0,0,0,0,0,93.805,54.425,0,0,0,0,0,0,24.779,2.162,0.02,0.01,0.01,0.029,1.311,0,0,0.039,0.039,0,60.129,0,0,35.762,0.489,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SRIF,72990,0,13,0,0,0.367,0.001,16,691,4.088,0.007,8,0.077,0,1,2,2,1.5,0,0.026,0,0,0,0,185780,112778,112758,0,20,99.982,0,0.018,7515,46511,36495,6.665,41.249,32.366,7,2.969,0.008,0,0,0,0,3,0.408532728,7.389,0,20.842,35.885,0,0,0,0,0,0,0,35.884,0,0,0,78.141,78.141,0,0,0,0,0,0,85.499,60.953,0.002,0.003,0.001,0.003,39.024,0.005,0.003,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SRIF,6133,0,10,0,0,5.879,0.004,12,330,2.06,0.098,330,0.044,0,1,2,1,1,0,0.016,0,0,0,0,23908,17767,17750,0,17,99.904,0,0.096,3067,5906,0,17.279,33.273,0,5,3.006,0,0,0,0,0,4,0.337915493,0,0,14.177,51.501,0,0,0,0,0,0,0,34.323,0,0,0,68.866,98.858,16.581,0,0,0,0,0,52.276,82.642,0.011,0.006,0.006,0.017,17.262,0,0,0.023,0.023,0,0,0,0,0,0,0,0.006,0.006,0,0,0,0,0,0,0,0,0
Train,DL,SH(D),93413,0,125,4,1,0,0,14,2619,7.027,0.005,6,0.007,0,1,6,2,1.417,0,0.002,0.002,0,2.415,0,224487,130945,130704,0,241,99.816,0,0.184,34,118557,11876,0.026,90.706,9.086,267,3.062,0.022,0,0,0,0,133,0.005134255,13.594,0.073,86.333,0,0,0,0,0,0,0,0,0,0,0,0,0,3.993,0,0,0,0,0,0,20.998,90.571,0,0.013,0,0.002,9.095,0.15,0,0.081,0.082,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SHI,64498,0,29,0,0,0,0,12,22942,3.777,0.006,5,0.052,0,1,3,3,1.5,0,0.026,0,0,0,0,206485,141958,141935,0,23,99.984,0,0.016,219,141447,0,0.154,99.656,0,7,2.473,0.011,0,0,0,0,3,0.157201066,0.327,0,99.673,0,0,0,0,0,0,0,0,0,0,0,0,0,44.316,0,0,0,0,0,0,44.463,99.826,0,0.006,0,0.006,0.154,0.004,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0
Train,DL,SHOIN(D),3535,1226,308,29,2,0.112,0.003,11,51,3.816,0.085,3,0.008,0.649,2,5,19,2.833,0,0.004,0.098,0.008,0,0,10585,6714,4605,1686,423,68.588,25.112,6.3,279,3815,327,6.059,82.845,7.101,4,2.106,3.14,7.016,0.163,0.163,0,1,0.162432139,0,0.267,15.241,48.93,0,0,0,0,0,0,1,0,0,0,34.893,2.68,2.062,0,0,0.206,0,0,0,45.361,62.69,0.238,1.772,0,0.074,4.96,0.938,0,2.324,0.849,0,20.286,0.268,0.074,0.938,0,1.251,0.045,0,0,0.06,2.636,0.596,0,0,0,0,0
Train,DL,SHI(D),39,50,53,49,7,0.611,0.06,2,6,2.333,5.263,2,0.006,0,1,2,4,4,0.003,0.023,0.869,1.256,0,0,594,454,156,67,231,34.361,14.758,50.881,4,15,7,2.564,9.615,4.487,29,2.013,64.103,0,0,0,0,1,0.006410256,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.626,1.322,0.881,0,1.542,1.322,28.414,0,11.013,11.013,0,11.233,9.692,10.132,3.084,0.441,0,0.441,0,0,0.441,0,0.441,3.965,0,0,0,0
